nivel 1;nivel 2;nivel 3
Atención;Acompañamiento de clientes;
Atención;Atención gral;Atención del ejecutivo
Atención;Atención gral;Atención en Cajas
Atención;Atención gral;Atención online
Atención;Atención gral;Atención personalizada
Atención;Atención gral;Atención sucursales
Atención;Atención gral;Atención telefónica
Atención;Contacto / Respuesta;Imposibilidad de contacto
Atención;Contacto / Respuesta;Respuesta
Beneficios;women;
Beneficios;Superclub;
Beneficios;Promociones Supermercado/Combustible;
Beneficios;Sorpresa;
Beneficios;Falta promociones;
Beneficios;Promociones /beneficios;
Beneficios;Marcas;
Beneficios;Competencia;
Beneficios;Faltan cuotas;
Funcionamiento;Funcionamiento general;
Funcionamiento;Sencillez General;
Funcionamiento;Practicidad general;
Riesgo de crédito;Límites;
Riesgo de crédito;Oferta de crédito;
Baja Productos;Baja de Productos;
Reclamos /Quejas;Problemas TAS;
Reclamos /Quejas;Resolución de reclamos;
Reclamos /Quejas;Estafas;
Reclamos /Quejas;Problema comisiones;
Reclamos /Quejas;Desconocimiento de contratación;
Reclamos /Quejas;Problema Impuestos;
Reclamos /Quejas;Problemas Prestamos;
Reclamos /Quejas;Problemas resumen;
Reclamos /Quejas;Problemas Pago Tarjeta;
Reclamos /Quejas;Problemas Superclub;
Reclamos /Quejas;Problemas Promociones;
Tarjetas;Uso en exterior;
Tarjetas;Refinanciacion;
Tarjetas;Habilitacion;
Tarjetas;Pago de tarjetas;
Tarjetas;Resolución de tarjetas;
Tarjetas;Delivery;
Tarjetas;Consumo Cuestionado;
Tarjetas;Bloqueos;
Tarjetas;Baja de tarjetas;
Tarjetas;Conformidad Tarjetas;
Tarjetas;Funcionamiento de tarjetas;
Tarjetas;Resumen;
Préstamo;Préstamos;
Comercio Exterior;Comex;
Higiene e infraestructura;Higiene;
Higiene e infraestructura;Infraestructura;
Imagen;Confianza;
Imagen;Seguridad;
Costos;Tasas;
Costos;Comisiones;
Costos;Dólares;
Costos;Impuestos;
Costos;Comision uso ATM no propio;
Resolucion y Eficiencia;Eficiencia;
Resolucion y Eficiencia;Resolucion;
Claves;Clave Online;
Claves;Token;
Claves;Clave;
Bca Automática;Higiene Área 24;
Bca Automática;Reconocimiento de billetes;
Bca Automática;ATM/TAS Funcionamiento;
Bca Automática;ATM/TAS Cash Out / Disponibilidad;
Bca Automática;Horario de uso;
Bca Automática;Retiro de moneda extranjera;
Bca Automática;Billetes baja denominación;
Cierre de Sucursales;Sucursal Cierre;
Información gral;Información;
Tiempo de espera;Agilidad;Demora/Agilidad Canales
Tiempo de espera;Agilidad;Demora/agilidad en atención
Tiempo de espera;Agilidad;Demora/agilidad en respuestas
Tiempo de espera;Tiempos de espera;Tiempo de espera sucursal
Tiempo de espera;Tiempos de espera;Tiempo de espera Plataforma
Tiempo de espera;Tiempos de espera;Tiempo de espera para ser atendido
Tiempo de espera;Tiempos de espera;Tiempo de espera Contact Center
Tiempo de espera;Tiempos de espera;Tiempo de espera Caja de Seguridad
Tiempo de espera;Tiempos de espera;Tiempo de espera Caja
Tiempo de espera;Tiempos de espera;Tiempo de espera Banca Automatica
Canales Digitales;Opciones / Menú CD;
Canales Digitales;Prestamos;
Canales Digitales;Chat;
Canales Digitales;Conformidad Canales;
Canales Digitales;Pagos Online;
Canales Digitales;Transferencias;
Canales Digitales;Certificado Digital;
Canales Digitales;App;App funcionamiento
Canales Digitales;App;App usabilidad
Canales Digitales;App;App velocidad
Canales Digitales;OLB;OLB velocidad
Canales Digitales;OLB;OLB usabilidad
Canales Digitales;OLB;OLB funcionamiento
Conformidad;Conformidad gral;
